hatchery,tag_rate
Wells2015,0.9556
Wells2016,0.9472
Wells2017,0.9551
Wenatchee2012,1
Wenatchee2013,1
Wenatchee2014,1
Wenatchee2015,1
Wenatchee2016,1
Wenatchee2017,1
Winthrop2012,1
Winthrop2013,1
Winthrop2014,1
Winthrop2015,1
Winthrop2016,1
Winthrop2017,1
